Descrip,CaseID,Agency,Date,Location,City,State,latitude,longitude,LatLong
COUNTERFEITING,20140603-2354-01,Charlotte-Mecklenburg Police,6/3/2014 23:54,9500 BLOCK SPRINGFIELD GARDENS DR,Charlotte,North Carolina,35.175179,-80.710347,35.175179:-80.710347
POSSESSION OF DANGEROUS NON-NARCOTIC,20140603-2345-02,Charlotte-Mecklenburg Police,6/3/2014 23:45,4100 BLOCK WILKINSON BV,Charlotte,North Carolina,35.225583,-80.90818,35.225583:-80.90818
NON-AGGRAVATED ASSAULT,20140603-2341-02,Charlotte-Mecklenburg Police,6/3/2014 23:41,3100 BLOCK FLORAL GROVE LN,Charlotte,North Carolina,35.318654,-80.948503,35.318654:-80.948503
VANDALISM,20140603-2337-02,Charlotte-Mecklenburg Police,6/3/2014 23:37,900 BLOCK SWEETBRIAR ST,Charlotte,North Carolina,35.246763,-80.79188,35.246763:-80.79188
SUSPICIOUS VEHICLE,O0603231706,Charlotte-Mecklenburg Police,6/3/2014 23:17,6000 BLOCK RYDER AV,Charlotte,North Carolina,35.089514,-80.835454,35.089514:-80.835454
NON-AGGRAVATED ASSAULT,20140603-2317-04,Charlotte-Mecklenburg Police,6/3/2014 23:17,3400 BLOCK WHEATLEY AV,Charlotte,North Carolina,35.194507,-80.805632,35.194507:-80.805632
AUTO THEFT,20140603-2313-02,Charlotte-Mecklenburg Police,6/3/2014 23:13,1400 BLOCK COKER AV,Charlotte,North Carolina,35.241006,-80.880756,35.241006:-80.880756
AUTO THEFT,20140603-2313-01,Charlotte-Mecklenburg Police,6/3/2014 23:13,5800 BLOCK REA RD,Charlotte,North Carolina,35.061881,-80.814079,35.061881:-80.814079
AGGRAVATED ASSAULT-GUN,20140603-2311-00,Charlotte-Mecklenburg Police,6/3/2014 23:11,2200 BLOCK FREEDOM DR,Charlotte,North Carolina,35.23358,-80.876498,35.23358:-80.876498
NON-AGGRAVATED ASSAULT,20140603-2301-00,Charlotte-Mecklenburg Police,6/3/2014 23:01,500 BLOCK COLONNADE DR,Charlotte,North Carolina,35.204243,-80.803433,35.204243:-80.803433
SUSPICIOUS PERSON,O0603225302,Charlotte-Mecklenburg Police,6/3/2014 22:53,9700 BLOCK N TRYON ST,Charlotte,North Carolina,35.318002,-80.737459,35.318002:-80.737459
AGGRAVATED ASSAULT-KNIFE,20140603-2250-03,Charlotte-Mecklenburg Police,6/3/2014 22:50,300 BLOCK PRINCE CHARLES ST,Charlotte,North Carolina,35.255048,-80.780338,35.255048:-80.780338
SUSPICIOUS VEHICLE,O0603223500,Charlotte-Mecklenburg Police,6/3/2014 22:35,10600 BLOCK TWIN LAKES PY,Charlotte,North Carolina,35.227087,-80.843127,35.227087:-80.843127
ARMED ROBBERY,20140603-2222-02,Charlotte-Mecklenburg Police,6/3/2014 22:22,500 BLOCK WHITLOCK DR,Charlotte,North Carolina,35.27864,-80.955609,35.27864:-80.955609
POSSESSION OF DANGEROUS NON-NARCOTIC,20140603-2221-03,Charlotte-Mecklenburg Police,6/3/2014 22:21,1600 BLOCK QUEEN CITY DR,Charlotte,North Carolina,35.240478,-80.918131,35.240478:-80.918131
SUSPICIOUS PERSON,O0603221405,Charlotte-Mecklenburg Police,6/3/2014 22:14,E 34TH ST & N MYERS ST,Charlotte,North Carolina,35.244459,-80.80495,35.244459:-80.80495
NON-AGGRAVATED ASSAULT,20140603-2203-02,Charlotte-Mecklenburg Police,6/3/2014 22:03,6100 BLOCK WILKINSON BV,Charlotte,North Carolina,35.23538,-80.943132,35.23538:-80.943132
NON-AGGRAVATED ASSAULT,20140603-2151-00,Charlotte-Mecklenburg Police,6/3/2014 21:51,3400 BLOCK BYRNES ST,Charlotte,North Carolina,35.241265,-80.791595,35.241265:-80.791595
NON-AGGRAVATED ASSAULT,20140603-2150-03,Charlotte-Mecklenburg Police,6/3/2014 21:50,14200 BLOCK BALLANTYNE LAKE RD,Charlotte,North Carolina,35.052367,-80.848295,35.052367:-80.848295
NON-AGGRAVATED ASSAULT,20140603-2145-01,Charlotte-Mecklenburg Police,6/3/2014 21:45,800 BLOCK CATES ST,Charlotte,North Carolina,35.235498,-80.848004,35.235498:-80.848004
LARCENY FROM AUTO,20140603-2144-07,Charlotte-Mecklenburg Police,6/3/2014 21:44,8100 BLOCK ARDREY KELL RD,Charlotte,North Carolina,35.039504,-80.794848,35.039504:-80.794848
